title,description,type,subject
fibula. ad anello,"Fibula ad anello con sezione appiattita ed estremita a protomi zoomorfe stilizzate. Ardiglione a sezione circolare e con punta, fermato alla fibula tramite avvolgimento dello stesso. Sulla superficie a vista della fibula è presente una iscrizione a carattere alfabetico (non sciolta).",fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
FIBULA A SANGUISUGA E MORSO EQUINO,Fibula con arco a sanguisuga; molla a spirale; la fibula si è saldata con un anello di morso equino a sezione circolare,FIBULA A SANGUISUGA E MORSO EQUINO,ORNAMENTI E OGGETTI D'USO
FIBULA A SANGUISUGA E MORSO EQUINO,Fibula con arco a sanguisuga; molla a spirale; la fibula si è saldata con un anello di morso equino a sezione circolare,FIBULA A SANGUISUGA E MORSO EQUINO,ORNAMENTI E OGGETTI D'USO
fibula/ fibula a sanguisuga,"arco a lamina ogivale, strigilato nella parte centrale, desinente in molla a stretta spirale; staffa a canale con doppia apofisi biconica terminale",fibula/ fibula a sanguisuga,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
fibula. Fibula a croce latina,"Fibula a croce latina con terminazioni a ""testa di cipolla"" (zwiebelknopffibel). Arco breve a sezione trapezoidale, di forma emi-ovoidale, con lungo piede a piastrina arrotondata inferiormente. L'ardiglione, che si infilava nell'alloggiamento predisposto nel piede a staffa, aperto lateralmente, è mancante. Si conserva il fermo di chiusura. All'estremità dell'arco, collegata mediante un collarino al piede, si ha una terminazione con bottone ""a cipolla"". Altre due terminazioni identiche, anch'esse ""a cipolla"", sono presenti alle estremità della barretta trasversale, alla base dell'arco, donando alla fibula la caratteristica forma ""a croce latina"".",fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
fibula a navicella,"Fibula a navicella con lunga staffa desinente a bottone preceduto da un collarino. Navicella profonda con sezione a C, molla unilaterale a doppio avvolgimento. L'arco presenta una decorazione incisa costituita da fasci di tre solcature che si sviluppa in maniera speculare sulle due metà della navicella con un motivo geometrico a chevron. Doppi fasci di linee orizzontali mettono in risalto le due estremità dell'arco verso la molla e la staffa. Un anello in bronzo alloggiato nel foro passante della molla collegava la fibula ad una catena pendente costituita da una serie di cinque anelli doppi.",fibula a navicella,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
FIBULA AD ARCO SEMPLICE,Fibula ad arco semplice; staffa laminare ripiegata,FIBULA AD ARCO SEMPLICE,ORNAMENTI
FIBULA AD ARCO INGROSSATO,Fibula ad arco ingrossato; staffa laminare ripiegata,FIBULA AD ARCO INGROSSATO,ORNAMENTI
FIBULA A LOSANGA,"Fibula con arco a losanga; staffa laminare, ingrossata, con apofisi",FIBULA A LOSANGA,ORNAMENTI
FIBULA A LOSANGA,Fibula con arco a losanga; molla a spirale,FIBULA A LOSANGA,ORNAMENTI
FIBULA A LOSANGA,Fibula con arco a losanga; staffa laminare,FIBULA A LOSANGA,ORNAMENTI
FIBULA A LOSANGA,Fibula con arco a losanga,FIBULA A LOSANGA,ORNAMENTI
FIBULA A LOSANGA,Fibula con arco a losanga; staffa laminare,FIBULA A LOSANGA,ORNAMENTI
FIBULA A LOSANGA,Fibula con arco a losanga,FIBULA A LOSANGA,ORNAMENTI
FIBULA A LOSANGA,Fibula con arco a losanga; staffa con apofisi,FIBULA A LOSANGA,ORNAMENTI
FIBULA A LOSANGA,Fibula con arco a losanga,FIBULA A LOSANGA,ORNAMENTI
FIBULA A LOSANGA,Fibula con arco a losanga,FIBULA A LOSANGA,ORNAMENTI
FIBULA,"Fibula con arco a losanga allungata, laminare; staffa laminare ripiegata, con apofisi globulare",FIBULA,ORNAMENTI
FIBULA,"Fibula con arco semplice, laminare; molla a spirale; staffa laminare ripiegata, con apofisi globulare; ardiglione",FIBULA,ORNAMENTI
FIBULA,"Fibula con arco semplice, laminare; molla a doppia spirale; staffa laminare ripiegata, con apofisi globulare",FIBULA,ORNAMENTI
FIBULA,"Fibula con arco semplice, laminare; molla a spirale; staffa laminare ripiegata, con apofisi globulare; ardiglione",FIBULA,ORNAMENTI
FIBULA A SANGUISUGA,Fibula con arco a sanguisuga; staffa laminare ripiegata; molla a spirale; ardiglione,FIBULA A SANGUISUGA,ORNAMENTI
FIBULA A SANGUISUGA,Fibula con arco a sanguisuga; staffa laminare ripiegata; molla a spirale,FIBULA A SANGUISUGA,ORNAMENTI
