title,description,type,subject
Sacro Cuore di Gesù (dipinto),"La figura di Cristo, sospesa tra un fitto cumulo di nubi, è avvolta in un ampio mantello blu; con la mano sinistra Egli mostra il suo cuore cinto di spine, mentre pone la destra in gesto d'offerta. La cornice è falsa poichè è dipinta sulla tela stessa.",dipinto,Sacro Cuore di Gesù
San Michele Arcangelo (dipinto),"S. Michele Arcangelo, con la lancia in mano, soggioga il demonio posto ai suoi piedi. Tutto attorno il paesaggio è roccioso e denso di fumi fuoriuscenti dalla terra, mentre nel cielo appare tra le nubi un cherubino.",dipinto,San Michele Arcangelo
Sant'Antonio Abate (scultura),Il frate in saio e mantello con cappuccio porta avanti entrambe le mani; nella destra tiene stretto il bastone. Sul petto è disegnata una grande croce di colore rosso.,scultura,Sant'Antonio Abate
reliquiario,"Il reliquiario poggia con due piedini su un basamento rettangolare. Nella parte superiore la cornice circolare a bugne è affiancata parallelamente da due volute. Il corpo, che tende a rastremarsi verso il basso, ha lungo l'asse centrale un motivo a ghirlanda di foglie di alloro trattenuta da due volute.",reliquiario,
croce d'altare,"Il crocifisso in madreperla poggia su un supporto di legno; lungo la croce, ad imitazione delle opere medievali, sono applicate placchette con l'immagine dei santi e della Vergine. Anche il Cristo è realizzato con lo stesso procedimento. Nel piedistallo, fiancheggiata da un gioco di grandi volute, si apre una nicchia nel cui sportello sono raffigurate due sante.",croce d'altare,
lampada pensile,"La lampada ha il ventre decorato con girali traforati, il collo segnato da semplici modanature ed il gocciolatoio ampio ornato da una corona. Le catene di sospensione si raccordano a quattro girali innestati al ventre.",lampada pensile,
reliquiario,Il reliquiario presenta un serrato giustapporsi di fiori e foglie interrotti soltanto dalla cornice dell'ovato entro la quale è posta una reliquia. Su un piedistallo di legno poggiano delle foglie in modo da formare una cornucopia dalla quale fuoriesce un fiore; anche nella parte inferiore viene ripresa la ricca decorazione floreale.,reliquiario,
calice,"Il calice ha la base circolare sagoamata che si innalza sino al nodo piatto, posto in prossimità della coppa. La forma del piede, che si fonde con il fusto senza soluzione di continuità, è impreziosita da un gioco libero di volute posto in due bande orizzontali, e da solchi longitudinali che creano nella superficie un ritmo a scansione. Vari simboli del Cristianesimo decorano la base svasata, mentre nella coppa si ripete il motivo di una croce.",calice,
aureola di statua,"Aureola dalla superficie traforata in cui sono sbalzati alternativamente e in modo piatto, fiori e foglie; queste ultime sono piegate a mo' di volute. Al centro, un bordo privo di ornato.",aureola di statua,
reliquiario,"Il reliquiario è formato da una lamina d'argento sbalzata a forma di tempietto gotico, sorretto da un putto, posto lungo il fusto, il quale poggia su una base dai profili svasati riccamente decorata. La lamina ha un supporto in legno.",reliquiario,
"paramento liturgico, serie","Parato liturgico composto da una pianeta, una stola, un manipolo, una busta, un velo del calice. I paramenti liturgici riprendono sia i simboli della passione sia quelli dell'Eucarestia. Questi simboli sono per lo più inscritti in riquadri polilobati e, mentre i colori che li caratterizzano sono molto vivaci, il fondo è unito e tendente all'avorio.",paramento liturgico,
"bracciale, serie","Il bracciale, caratterizzato dall'intreccio di sei fili di perle di formad iversa, è conchiuso da un fermaglio in smalto bianco e blu, articolato inm odo da creare un motivo geometrico.",bracciale,
Trinità (dipinto),"Tra cumuli di nubi sono poste le figure del Padre Eterno e Cristo con la C roce. Alla sommità del cielo appare la Colomba, simbolo dello Spirito Sant o. Colori scuriti.",dipinto,Trinità
San Luca Evangelista (dipinto),L'Evangelista è ritratto a mezzobusto mentre scrive.. Personaggi: San Luca. Attributi: (San Luca) bue,dipinto,San Luca Evangelista
altare,"L'altare è formato da una sola campata ai lati della quale sono due colonn e di cui una addossata alla parete. Al centro della campata, una grande ni cchia ospita la statua lignea di San Pasquale Baylon. Il fregio presenta v olute interpolate da testine di cherubini. Sopra la cornice è posta una ci masa con l'immagine di Cristo coronato di spine.",altare,
Sant'Antonio da Padova (scultura),"Il Santo, vestito nell'abito dei confratelli, porta avanti le mani allarga ndo le braccia.",scultura,Sant'Antonio da Padova
pulpito,"Il pulpito è costituito da un baldacchino a frange vagamente sagomato e da un parapetto decorato con lo stemma dell'ordine dei francescani. Nella pa rte inferiore, addossati alla parete, sono posti un pilastro e due colonne .",pulpito,
lapide tombale,Semplice lapide con scritta in lettere capitali.,lapide tombale,
Cristo crocifisso (scultura),Il Crocifisso reclina il capo verso l'omero destro. Il perizoma gli copre i fianchi con un breve panneggio. La croce è sostenuta da una base ornata da volute.,scultura,Cristo crocifisso
reliquiario,"Il reliquiario è formato da una semplice base circolare, da un fusto con m odanature e da un tondo nel quale è conservata la reliquia di San Biagio. Un motivo a falce di luna è posto al vertice dell'oggetto liturgico.",reliquiario,
corona,La corona è formata da bande sovrapposte di ornati. Nella parte superiore è presente un motivo a traforo sul quale si innestano delle foglie.,corona,
calice,"Il calice ha una semplice base svasata sulla quale si innesta un breve fus to, articolato da modanature che trovano la loro massima espansione nel no do centrale. La coppa è ornata soltanto nella parte inferiore con encarpi inscritti in volute. Sotto il labbro è punzonata la cifra 723.",calice,
palla,"La palla è caratterizzata da una croce greca, avente all'incrocio dei brac ci una raggiera di lance. Fanno corona alla croce motivi floreali.",palla,
pianeta,Il tessuto verde della pianeta presenta delle screziature cangianti tipo t affetas che impreziosiscono il paramento molto semplice; infatti soltanto la passamaneria sottolinea ornamentalmente le sue tradizionali parti costi tutive.,pianeta,
